city,hotel_name,room_type_name,price,checkin,checkout,url
Lisbon,"Maxime Boutique Hotel Avenida da Liberdade, Lisbon (updated prices 2026)",Run of House,2750525.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/maxime.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__13475&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Maxime Boutique Hotel Avenida da Liberdade, Lisbon (updated prices 2026)",Deluxe Twin Room,2925964.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/maxime.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__13475&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Maxime Boutique Hotel Avenida da Liberdade, Lisbon (updated prices 2026)",Deluxe Double Room,3156563.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/maxime.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__13475&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Maxime Boutique Hotel Avenida da Liberdade, Lisbon (updated prices 2026)",Dressing Room,3770565.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/maxime.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__13475&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Maxime Boutique Hotel Avenida da Liberdade, Lisbon (updated prices 2026)",Bar Room,4000816.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/maxime.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__13475&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Maxime Boutique Hotel Avenida da Liberdade, Lisbon (updated prices 2026)",Stage Room,4000816.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/maxime.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__13475&from_sustainable_property_sr=1&from=searchresults
Lisbon,"MASA Hotel & Spa Campo Grande Collection, Lisbon (updated prices 2026)",Deluxe Double or Twin Room,2612780.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/masa-campo-grande.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1013184002_375603717_2_1_0&highlighted_blocks=1013184002_375603717_2_1_0&matching_block_id=1013184002_375603717_2_1_0&sr_pri_blocks=1013184002_375603717_2_1_0__12800&from=searchresults
Lisbon,"MASA Hotel & Spa Campo Grande Collection, Lisbon (updated prices 2026)",Superior Double or Twin Room,2776077.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/masa-campo-grande.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1013184002_375603717_2_1_0&highlighted_blocks=1013184002_375603717_2_1_0&matching_block_id=1013184002_375603717_2_1_0&sr_pri_blocks=1013184002_375603717_2_1_0__12800&from=searchresults
Lisbon,"MASA Hotel & Spa Campo Grande Collection, Lisbon (updated prices 2026)",Superior Double Room,2776077.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/masa-campo-grande.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1013184002_375603717_2_1_0&highlighted_blocks=1013184002_375603717_2_1_0&matching_block_id=1013184002_375603717_2_1_0&sr_pri_blocks=1013184002_375603717_2_1_0__12800&from=searchresults
Lisbon,"The Cloud One Lisbon, Lisbon (updated prices 2026)",Standard Double Room,2949582.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/cloud-one-lisbon.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1404934602_415154882_2_2_0&highlighted_blocks=1404934602_415154882_2_2_0&matching_block_id=1404934602_415154882_2_2_0&sr_pri_blocks=1404934602_415154882_2_2_0__14450&from=searchresults
